"start_station_name","lat","lng","total_trips"
"Damen Ave & Foster Ave","41.9756124121868197","-87.6794623363170394","5053"
"Fort Dearborn Dr & 31st St","41.8385496183439745","-87.6082694416999202","5012"
"Harper Ave & 59th St","41.7879429985737538","-87.5883093620264496","4915"
"Blackstone Ave & Hyde Park Blvd","41.8025824021123872","-87.5903702153465956","4876"
"Sheridan Rd & Loyola Ave","42.0010900440410385","-87.6612382209987437","4776"
"Damen Ave & Clybourn Ave","41.9319142660633580","-87.6778235631129884","4735"
"Lincoln Ave & Waveland Ave","41.9487566728463693","-87.6752485222861452","4641"
"California Ave & Francis Pl","41.9185352373558004","-87.6974241683905811","4629"
"Glenwood Ave & Morse Ave","42.0079644201362162","-87.6654771324302703","4625"
"Chicago Ave & Sheridan Rd","42.0504875589160537","-87.6778180171635656","4622"
"Buckingham Fountain (Temp)","41.8691263760874365","-87.6237467324530802","4529"
"Leavitt St & Belmont Ave","41.9393417937941696","-87.6832554604792403","4528"
"Morgan Ave & 14th Pl","41.8624124883153881","-87.6511094760565276","4458"
"Paulina St & 18th St","41.8579155417436360","-87.6686960471209732","4439"
"Clark St & Lunt Ave","42.0090133179693487","-87.6741851901938247","4437"
"Wood St & Hubbard St","41.8898955516035183","-87.6714693743211547","4434"
"California Ave & North Ave","41.9104133311873412","-87.6975024787895588","4329"
"Hampden Ct & Diversey Ave","41.9318673421474954","-87.6420151824373840","4312"
"Buckingham Fountain","41.8755008249289872","-87.6208630555483120","4295"
"Calumet Ave & 21st St","41.8541597830226055","-87.6191638254206479","4291"
"Milwaukee Ave & Rockwell St","41.9202199045118239","-87.6926522033153828","4271"
"Halsted St & 18th St","41.8575651723972764","-87.6460264616154027","4259"
"Ravenswood Ave & Berteau Ave","41.9579160390813898","-87.6735740434602570","4202"
"Ogden Ave & Congress Pkwy","41.8750428704592450","-87.6732688865207983","4159"
"California Ave & Division St","41.9030297772108186","-87.6975035590775175","4141"
"Morgan St & 31st St","41.8378121257392571","-87.6511494605535324","4119"
"Kedzie Ave & Palmer Ct","41.9215163087303922","-87.7072994512769608","4080"
"Calumet Ave & 35th St","41.8313648038575302","-87.6180312972418043","4057"
"California Ave & Altgeld St","41.9266563923892052","-87.6977035005025997","4039"
"Lincoln Ave & Addison St","41.9461760410810811","-87.6733052867392392","3996"
"Damen Ave & Melrose Ave","41.9405643601483157","-87.6785502484565108","3978"
"Milwaukee Ave & Fullerton Ave","41.9234831625599596","-87.7004472606942691","3961"
"Southport Ave & Clark St","41.9570852293303007","-87.6641937413773060","3957"
"Damen Ave & Sunnyside Ave","41.9632488962395331","-87.6792779810200457","3941"
"Wentworth Ave & 33rd St","41.8345591165986570","-87.6318259678641529","3872"
"Blackstone Ave & 59th St","41.7879169181725490","-87.5904907592496732","3825"
"Wentworth Ave & Cermak Rd*","41.8532019135746132","-87.6318590491397849","3813"
"Lincoln Ave & Belmont Ave (Temp)","41.9394729672977941","-87.6710846153623950","3808"
"Western Ave & Congress Pkwy","41.8746910771279443","-87.6863920539186296","3736"
"Lake Park Ave & 35th St","41.8312695959989215","-87.6088017054704772","3709"
"Clark St & Elmdale Ave","41.9908557195468195","-87.6696973203712804","3663"
"Winchester Ave & Elston Ave","41.9240940124136039","-87.6764597116566100","3646"
"Talman Ave & Addison St","41.9466427644484882","-87.6946280922648376","3572"
"Wabash Ave & Cermak Rd","41.8526163993686584","-87.6265283788895152","3548"
"Richmond St & Diversey Ave","41.9319199733173348","-87.7012333805477132","3542"
"Fort Dearborn Dr & 31st St*","41.8386392705877366","-87.6086815698756711","3539"
"Ashland Ave & 13th St","41.8652271576377058","-87.6665220205139125","3522"
"Rockwell St & Eastwood Ave","41.9658627757313263","-87.6936606178841238","3521"
"Greenview Ave & Jarvis Ave","42.0159699305915976","-87.6685939307602172","3499"
"Clark St & Schreiber Ave","41.9995746729352518","-87.6707035433956835","3475"
