"start_station_name","lat","lng","member_casual","total_trips"
"Elizabeth St & Randolph St","41.8836790088228005","-87.6590965275801027","member","5649"
"Green St & Madison St","41.8818644146583851","-87.6492081952031943","casual","5635"
"Halsted St & Dickens Ave","41.9199582380767863","-87.6488517059811589","casual","5626"
"Racine Ave & Belmont Ave","41.9396992016963016","-87.6588700386610953","casual","5624"
"Daley Center Plaza","41.8841537374029904","-87.6295872153292987","casual","5618"
"Lincoln Park Conservatory","41.9239841702174688","-87.6358597069304813","member","5610"
"Milwaukee Ave & Grand Ave","41.8916103852231346","-87.6483242533398786","casual","5602"
"Canal St & Adams St","41.8793351623235031","-87.6399664158462913","casual","5595"
"Sangamon St & Washington Blvd","41.8830904142508961","-87.6511065185448029","member","5580"
"Franklin St & Jackson Blvd","41.8777313994776521","-87.6352787646688207","casual","5571"
"Clinton St & Jackson Blvd","41.8783616335087403","-87.6411247981636331","casual","5549"
"Broadway & Berwyn Ave","41.9783335711723266","-87.6597900835765896","member","5536"
"Lakefront Trail & Bryn Mawr Ave","41.9839964281732682","-87.6522983751474046","casual","5529"
"Green St & Washington Blvd","41.8831964868566775","-87.6487487871009772","member","5526"
"Racine Ave & Wrightwood Ave","41.9288917967289211","-87.6589717073726201","member","5515"
"Clark St & Winnemac Ave","41.9733556950308866","-87.6678398577852471","casual","5504"
"Burnham Harbor","41.8574304419687045","-87.6137967252911208","member","5496"
"Michigan Ave & Jackson Blvd","41.8780562198142415","-87.6241326255472592","member","5491"
"Kedzie Ave & Milwaukee Ave","41.9295718815331265","-87.7079048392954919","casual","5479"
"Michigan Ave & Pearson St","41.8975351095306726","-87.6235580797967480","member","5412"
"Pine Grove Ave & Irving Park Rd","41.9543905053086876","-87.6480566166691312","casual","5410"
"Rush St & Cedar St","41.9023426978560831","-87.6277431173813056","casual","5392"
"Ashland Ave & Augusta Blvd","41.8996286541247448","-87.6679820748394283","member","5387"
"Larrabee St & North Ave","41.9101676309621100","-87.6435017189208767","member","5384"
"Damen Ave & Division St","41.9032833137969505","-87.6784734478765340","member","5378"
"Halsted St & Fulton St","41.8872344025186012","-87.6483589674869792","casual","5376"
"Federal St & Polk St","41.8720915846489918","-87.6295665342457058","casual","5356"
"Canal St & Madison St","41.8822600644138577","-87.6397836759662921","casual","5340"
"Emerald Ave & 31st St","41.8382086057706767","-87.6451274955751880","member","5320"
"Clybourn Ave & Division St","41.9045960711263633","-87.6405706118202332","member","5318"
"Ravenswood Ave & Lawrence Ave","41.9689255062939841","-87.6742260934222474","casual","5286"
"Sedgwick St & North Ave","41.9113680513015267","-87.6386760218931298","casual","5240"
"Fairbanks St & Superior St","41.8957617932881421","-87.6201328523047546","member","5237"
"Ashland Ave & Wellington Ave","41.9360701906016043","-87.6698312641940413","member","5236"
"Hermitage Ave & Polk St","41.8715231006175908","-87.6698929973460803","member","5230"
"Ellis Ave & 55th St","41.7942982157186603","-87.6014420210622010","casual","5225"
"Clinton St & Roosevelt Rd","41.8671198346782842","-87.6410733074128686","member","5222"
"Dearborn St & Monroe St","41.8810762228006939","-87.6296377892887433","casual","5188"
"State St & Kinzie St","41.8891446365631030","-87.6271954900791200","casual","5182"
"Field Blvd & South Water St","41.8862845526481374","-87.6174912609940166","casual","5181"
"Broadway & Sheridan Rd","41.9527955625087176","-87.6500306454358776","casual","5162"
"Clark St & North Ave","41.9119657222377622","-87.6319756299339549","casual","5148"
"Ashland Ave & Grace St","41.9506869689305963","-87.6686956432864125","member","5115"
"Clark St & Lake St","41.8859937881766549","-87.6309495658068939","casual","5106"
"State St & Harrison St","41.8740446924774421","-87.6277341222459788","member","5098"
"Clark St & Montrose Ave","41.9615440831932939","-87.6661222275009862","member","5070"
"Sedgwick St & Webster Ave","41.9221626134117880","-87.6389349824762658","casual","5056"
"Wabash Ave & 9th St","41.8707415941424332","-87.6257382612225519","casual","5055"
"Adler Planetarium","41.8661137045282643","-87.6073093508200637","member","5024"
"Shedd Aquarium","41.8672390461230585","-87.6154433261131023","member","5022"
"Kimbark Ave & 53rd St","41.7995658411018131","-87.5947418997907950","casual","5019"
"Leavitt St & North Ave","41.9103225504274870","-87.6823505263423891","member","5006"
